 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Email, Latitude, Longitude
Sainik Aspatal Military Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Sainik Aspatal, Military Hospital, Deolali",,,,19.9483203,73.841866
Ansar Blood Bank,Maharashtra,NASHIK,Nashik,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik",423203,"02554 238383, 02554 230169, 02254 230039",,20.552043,74.532641
Arpan Blood Bank and Blood Component Laboratory and Research Centre,Maharashtra,NASHIK,Nashik,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik 
",422001,"0253 2311358, 0253 2576058",,20.004874,73.787164
Jankalyan Blood Bank,Maharashtra,NASHIK,Nashik,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
",422013,"0253 2573493, 0253 2575249",rssjan_nsk@rediffmail.com,20.008838,73.7702
NDMVPS Medical College and Hospital Blood Bank,Maharashtra,NASHIK,Nashik,At Post Adgaon Dist Nashik ,,"0253 2220522, 0253 2303930",,20.037363,73.852998
Samta Blood Bank,Maharashtra,NASHIK,Nashik,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
",422001,"0253 2472499, 0253 2472599, 0253 2472699, 09975997867, 09975997863, 09975997864",samtabloodbank@gmail.com,19.984791,73.782607
Sanjeevani Blood Bank,Maharashtra,NASHIK,Nashik,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik ",422006,0253 2411888  ,,19.975586,73.803963
Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,Maharashtra,NASHIK,Nashik,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik ",,0253 2232996,,19.990656,73.775241
The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ,Maharashtra,NASHIK,Nashik,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1 & 567/1/3 (CTS No. 7249 & FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik 
",,7387348888,,19.987781,73.784138
SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,Maharashtra,NASHIK,Nashik,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, �A� Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik
",422002,02553 222300,,19.76062,73.769851
Hindustan Aeronautics Limited Blood Bank,Maharashtra,NASHIK,Nashik,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik
",,"02550 275845, 02550 278932 (Extn. 2589)",,20.105897,73.931932
J.D.C. Bytco Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik",422101,"0253 2460251, 0253 24605352",,19.949132,73.838742
Regional Referal Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Medical Superintendent, Regional Referal Hospital (Superspeciality Hospital) Blood Bank, Nashik",,,,,
Shri Krishna Blood Bank,Maharashtra,OSMANABAD,Omerga,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ",413606,"02457 252004, 02457 252232, 02457 252469",dr.dbpatange@yahoo.com,17.83503,76.622149
"Civil Surgeon, General Hospital Blood Bank",Maharashtra,OSMANABAD,Osmanabad,"Civil Hospital Osmanabad, Tqand, Osmanabad ",413501,02472 226924,"bloodbankosmanabad@gmail.com, cs_osmanabad1@rediffmail.com",18.18077,76.034735
Civil Surgeon - District General Hospital Blood Bank,Maharashtra,PARBHANI,Parbhani,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
",414001,"02452 223458, 02452 231287",bloodbankghp@gmail.com,19.271699,76.765032
Kanthak Sevabhavi Sanstha - New Life Blood  Bank,Maharashtra,PARBHANI,Parbhani,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ",431401,02452 220222,newlifebloodbank@gmail.com,19.273124,76.782625
Indian Red Cross Society Blood Bank,Maharashtra,PUNE,Baramati,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",413102,02112 222951,ircsbbbaramati@gmail.com,18.152597,74.574996
Pune Chest and General Hospital Blood Bank,Maharashtra,PUNE,Pune,"Aundh Cest Hospital, Aundh Camp, Pune",411027,"020 27285432, 020 27286458",,18.575032,73.80537
Sasoon Sarvopchar Hospital Blood Bank,Maharashtra,PUNE,Pune,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune",411021,"020 26126868, 020 24480431",bjmc.bloodbank@gmail.com,18.515846,73.858714
Armed Forces Blood Bank,Maharashtra,PUNE,Pune,"Vanwadi Armed Force Medical College, Pune",411040,"020 26026038, 020 26306337",,18.505159,73.889694
Jankalyan Raktapedhi Pune,Maharashtra,PUNE,Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune",411002,"020 24449527, 020 24444502",janrakta@gmail.com,18.50092,73.857531
Inlaks Budharani Hospital Blood Bank,Maharashtra,PUNE,Pune,"7-9, Koregaon Park, Pune",411001,"020 66099999, 020 66099727, 020 66099703",,18.534391,73.887409
Indian Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune",411030,"020 24535244, 020 24538453",isibloodbank@rediffmail.com,18.506291,73.84264
Acharya Anandrushiji Blood Bank,Maharashtra,PUNE,Pune,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune",411030,"020 24537627, 020 65250707, 020 24531600",,18.508647,73.844846
Akshay Blood Bank,Maharashtra,PUNE,Pune,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune",411028,"020 26993247, 020 26993248,  ",akshaybloodbankpune@gmail.com,18.47143,73.959674
Garware Blood Bank - Talegaon Rural Hospital,Maharashtra,PUNE,Pune,"Talegaon Dhabhade, Maval, Pune ",410507,"02114 223916, 02114 308399",,18.735319,73.675984
Jehangir Hospital Blood Bank,Maharashtra,PUNE,Pune,"32, Sasoon Road, Pune ",411001,"020 66811722, 020 66811723,",bloodbank@jehangirhospital.com,18.530392,73.876808
KEM Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sardar Moodliar Road, Rastha Peth, Pune",411001,"020 26125600, 020 66037324, 020 26125603",,18.519784,73.866906
Grant Medical Foundation A.H. Wadia Trust Blood Bank,Maharashtra,PUNE,Pune,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune",411001,"020 26166318, 020 66455264, 020 26163391",,18.533369,73.876939
Bharati Vidyapeeth Medical Foundation Blood Bank,Maharashtra,PUNE,Pune,"Sector - 28, Dhankawadi, Pune Satara Road, Pune",411043,"020 40555555, 020 24379432",,18.459914,73.855994
Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,Maharashtra,PUNE,Pune,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune",411018,"020 27423844, 020 27420439",,18.624175,73.82126
Deenanath Mangeshkar Hospital Blood Bank,Maharashtra,PUNE,Pune,"Erandawane, Near Mhatre Bridge, Pune",411004,"020 26602307, 020 26602308, 020 26602313, 020 25420104",,18.502108,73.832232
Poona Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune",411011,"020 26133387, 020 26141719, 020 27472876                     ",,18.516656,73.866532
Sahiyadari Speciality Hospital Blood Bank,Maharashtra,PUNE,Pune,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ",411004,"020 25403232, 020 67213000",,18.513091,73.839308
Aditya Birla Memorial Hospital Blood Bank,Maharashtra,PUNE,Pune,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ",411033,"020 30717690, 020 30717676",,18.625716,73.774775
Rakesh Jain Memorial Blood Bank,Maharashtra,PUNE,Pune,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ",411030,"020 24331706, 020 66069000, 020 24338477",,18.510752,73.842158
Noble Hospital Blood Bank,Maharashtra,PUNE,Pune,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ",411013,"020 66285050, 020 66285199","skrcorporate@yahoo.co.uk, noblebloodbank@yahoo.in",18.505035,73.927256
Smt Kashibai Navale General Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ",411041,"020 241062299, 020 24699884, 020 24106274",,18.45624,73.822183
Pimpari Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ",411018,"020 27421179, 020 27427779",psibbpimpri@gmail.com,18.624322,73.807929
Chakan Blood Bank,Maharashtra,PUNE,Pune,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune ",410501,02135 202141,,18.762296,73.860866
R.G Gholap Memorial Blood Bank,Maharashtra,PUNE,Pune,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune",411009,"020 65402140, 9822442140, 8554942140",gholapbloodbank@gmail.com,18.487158,73.857098
Kranti Mitra Mandal Charitable Trust Blood Bank,Maharashtra,PUNE,Pune,"1st Floor PMT Buiding Gadital, Hadapsar, Pune ",411028,"020 26992828, 020 64782828, 020 26993703",,18.501083,73.939062
Krantiveer Chapekar Bandhu Blood Bank,Maharashtra,PUNE,Pune,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune  ",411033,"020 27610054, 020 27610042",,18.625689,73.784672
The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,Maharashtra,PUNE,Pune,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune",411007,020 46608585,,18.56475,73.800994
Ekta Apang Vikas Sanstha Blood Bank,Maharashtra,PUNE,Pune,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",411028,020 26855144,,18.477273,73.90302
Chattrapati Shahu Maharaj Pratisthan,Maharashtra,PUNE,Pune,"S.No. 30, 4th floor, office no. 41, 402, 403, and 5th floor off 502, waris Heights, Pune-Satara Road, Dhankwadi, Pune",411030,,,18.466519,73.857679
Chattrapati Shahu Maharaj Pratisthan Blood Bank,Maharashtra,PUNE,Pune,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune",411030,020 65267000,,18.466161,73.857642
M/s. Vidyashree Charitable Trusts Om Blood Bank,Maharashtra,PUNE,Pune,Pune,,,,,
District Civil Surgeon Blood Bank,Maharashtra,RAIGAD,Alibag,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ",402201,02141 225734,bloodbankalibag@gmail.com,18.640782,72.871716
Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,Maharashtra,RAIGAD,Mahad,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad",402301,"02145 222604, 02145 225103, 02145 224807 ",jkrp_mahad@redifmail.com,18.082736,73.42265
M.B. More Foundation Blood Bank,Maharashtra,RAIGAD,Mangaon,"Ghar. No. 412, 1st Floor, Mangaon, Morba Road, Opposite to Civil Hospital, Mangaon, Raigad
",431002,,,19.067134,73.066397
Advanced Centre for Treatment Reasearch and Education in Cancer,Maharashtra,RAIGAD,Navi Mumbai,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ",410208,022 27405073,transmed.dept@actrec.gov.in,19.065019,73.064507
M/s. Navi Mumbai Blood Bank,Maharashtra,RAIGAD,Navi Mumbai,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai",410 210,,navimumbaibb@gmail.com,19.034045,73.029533
Shree Sai Blood Bank & Component,Maharashtra,RAIGAD,Panvel,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad",410206,"022 27467856, 022 27450885, 022 27463796",,18.99397,73.106561
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,Maharashtra,RAIGAD,Raigad,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ",410206,"022 27459322, 022 32092960",rotarybloodbank.newpanvel@gmail.com,19.008249,73.108321
Civil Surgeon - General Hospital Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"Civil Hospital, Ratnagiri",415612,02352 225616,bloodbank.ghr123@gmail.com,16.989126,73.298866
Shree Swami Samarth Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri",415606,"02355 264137, 02355 264149, 02355 264181            ",bloodbank@walawalkarhospital.com,17.399914,73.547448
Indian Red Cross Society Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"Khareghat Road, Ratnagiri",415612,"02352 223262, 02352 222347",redcrossratnagiri@rediffmail.com,17.019013,73.298977
Indian Red Cross Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,Ratnagiri,,,,,
Prakash Blood Bank & Blood Component Seperation Unit,Maharashtra,SANGLI,,"Prakash Shikshan Mandal&#39;s Prakash Hospital & Research Centre, Islampur Sangli Road, Uran - Islampur, Tal -Walwa, Dist- Sangli (Ms)
",415409,"02342 661212, 02342 661224",,,
Padmabhushan Vasantdada Patil Government Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
",416416,"0233 2374651, 0233 2374652, 0233 2374653, 0233 2374654, 0233 2374655",sanglicivilbb@gmail.com,16.852571,74.574678
Rajaram Bapu Blood Bank,Maharashtra,SANGLI,Sangli,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
",415409,02342 224939,rajarambapu.bloodbank@rediffmail.com,17.048399,74.251122
Vasantdada Patil Blood Bank and Haematology Research Centre,Maharashtra,SANGLI,Sangli,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli",416410,"0233 2229619, 0233 2222319",svpbb1984@rediffmail.com,16.82132,74.649492
Miraj Medical Centre - Wanless Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Wanless Hospital Blood Bank, Medical Centre, Miraj",416410,"0233 2223291, 0233 2223292, 0233 2223293, 0233 2223294, 0233 2223295",,16.832135,74.645472
Jeevan Rekha Charitable Trust Blood Bank,Maharashtra,SANGLI,Sangli,"H. No. 329/E, Ward No. 5, 1st Floor, Umrani Road, A/p-jath, Sangli
",416416,"02344 248000, 02344 248922",,17.049271,75.204853
Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,Maharashtra,SANGLI,Sangli,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj",416410,"0233 2212155, 0233 2211601, 0233 2211602",cancermiraj@gmail.com,16.833879,74.635364
Bharati Vidyapeeth University Medical college And Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"A/p Wanlesswadi, Miraj 
",416414,"0233 2601594, 0233 2601593 (Extn. 266)",,16.841716,74.617969
Hindratna Prakashbapu Patil Blood Bank,Maharashtra,SANGLI,Sangli,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli
",416416,0233 2672233,hindratnabloodbank@gmail.com,16.8537,74.580099
Miraj Serological Institute Blood Bank,Maharashtra,SANGLI,Sangli,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj 
",416410,"0233 6451819, 0233 2211400",msibloodbank@gmail.com,16.828931,74.639399
Akshay Blood Bank,Maharashtra,SANGLI,Sangli,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli",416410,"0233 2212448, 0233 2212449 ",abbmiraj@gmail.com,16.838026,74.651827
Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,Maharashtra,SANGLI,Sangli,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli",416416,"0233 2373044, 0233 2372376",shirgaonkar_sangli@yahoo.co.in,16.853702,74.575077
Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,Maharashtra,SANGLI,Sangli,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli
",416416,"0233 6012777, 09604520087, 07798539069",adarshbloodbank@gmail.com,16.842421,74.619929
Azad Panchi Group Charitable Trust Blood Bank,Maharashtra,SANGLI,Sangli,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli
",416416,0233 2374333,msibloodbank@gmail.com,16.844539,74.572891
S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,Maharashtra,SATARA,Satara,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara",415110,"02164 222459, 02164 221020",mskarad@gmail.com,17.288048,74.186177
Civil Surgeon - Sarva Samanya Hospital Blood Bank,Maharashtra,SATARA,Satara,"Bazar Road, Satara",415001,"02162 238494, 02162 235640                ",bbsknpsatara@gmail.com,17.691305,74.009424
Phaltan Medical Foundation Blood Bank,Maharashtra,SATARA,Satara,"C.T.S. No. 5604/6, Near Dnyaneshwar Mandir, Behind State Bank of India, Laxminagar, 1st Floor Phaltan, Satara",415523,"02166 221197, 02166 220897, 02166 220007 ",,17.992317,74.42537
Krishna Hospital and Medical Research Centre Blood Bank Karad,Maharashtra,SATARA,Satara,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara",415110,"02164 241456, 02164 242170",khbloodbank@yahoo.com,17.285065,74.185701
Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,Maharashtra,SATARA,Satara,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra",415102,"02161 270661, 02161 270761 (Extn. 303)",insrmyn05@rediffmail.com,17.431214,74.549364
M/s. K. N. Gujar Blood Bank,Maharashtra,SATARA,Satara,"M/s K.N. Gujar Blood Bank, F. P. No. 21, 203/A/6, 1st Floor, K.N. Gujar Hospital, Shanivar Peth, Near S.T. Bus Stand, Karad, Satara",415110,02164 222868 ,,17.278263,74.183727
M/s. Balaji Blood Bank,Maharashtra,SATARA,Satara,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002
",415002,"02162 226995, 02162 226996 ",balajibbsatara@gmail.com,17.695093,74.010716
Akshay Blood Bank,Maharashtra,SATARA,Satara,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara",415002,"02162 230730, 02162 231731",abbSatara@gmail.com,17.672028,74.021087
Mauli Blood Bank Satara,Maharashtra,SATARA,Satara,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara ",415001,"02162 222586, 02162 222031",maulibloodbank@gmail.com,17.686084,74.007955
Yashwantrao Chavan Blood Bank,Maharashtra,SATARA,Satara,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad  ",415110,02164 228122,ycbbkarad@gmail.com,17.275751,74.18181
Civil Surgeon - General Hospital Blood Bank,Maharashtra,SINDHUDURG,Sindhudurga,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",416812,0236 2228902,orosbloodbank@gmail.com,16.12019,73.689563
"Cottage Hospital Blood Bank, Sawantwadi",Maharashtra,SINDHUDURG,Sindhudurga,"Sub -District Cottage Hospital, Blood Bank, Sawantwadi, 
C-Sindhudurg",416510,02363 275035,bloodbank.sdhsawantwadi@gmail.com,15.902781,73.823544
Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,Maharashtra,SOLAPUR,Solapur,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra",413003,"0217 2310766, 0217 2749440","dr.g.a.pandit@gmail.com, bloodbanksolapur@gmail.com",17.659024,75.912826
Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank,Maharashtra,SOLAPUR,Solapur,"Ashok Chowk, 896/97, Bhavnarishi Peth (Bolli Mangal Karayalaya 1 floor, Solapur",413006,"0217 2653829, 0217 2390144, 0217 2620348",,17.659918,75.906391
"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur",Maharashtra,SOLAPUR,Solapur,"1st Floor, Sahyadri Shopping Centre Railway Lines, Solapur",413001,"0217 2311215,  0217 2311281, 0217 2311215, 0217 2311281",hedgewar.raktapedhi@gmail.com,17.66391,75.900793
Solapur Blood Bank,Maharashtra,SOLAPUR,Solapur,"136, Railway Line, Near Railway Station, Near Atthar Hospital, Anjani Chembers,  Solapur",413001,"0217 2317242, 0217 2318028 ",,17.65992,75.906391
IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,Maharashtra,SOLAPUR,Solapur,"804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur",413101,"02185 222101, 02185 225601, 02185 222665, 02185 222166",imabloodbank136@rediffmail.com,17.660169,75.906401
Akshay Blood Bank,Maharashtra,SOLAPUR,Solapur,"Survey No. 2212, First Floor, Laxmi Narayan Apartment, South Sadar Bazar, Solapur ",413003,"0217 2315025, 0217 26993247",,17.669558,75.915101
M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,Maharashtra,SOLAPUR,Solapur,"Kumbhari, Gat No. 261 and 262 , Akkalkot Road, Kumbhari, 
Tal.South Solapur. Dist. Solapur ",413006,"0217 2280891, 0217 2280897",armchbb@gmail.com,17.644778,75.986234
Athar Minorities Social and Welfare Associations - Athar Blood Bank,Maharashtra,SOLAPUR,Solapur,"1st Floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur",413002,0217 2622999,"atharbloodbank@ymail.com,",17.676725,75.910238
Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank,Maharashtra,SOLAPUR,Solapur,"Jawaharlal Hospital Compound, Shivaji Road, Barsi, Somwarpeth, Solapur",413401,02184 222399,srsbloodbank@yahoo.com,17.661126,
Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,Maharashtra,SOLAPUR,Solapur,"165 Railway Line, Red Cross Road, Dufferin Chowk, Solapur ",413001,"0217 2726858, 0217 2722106",gopabaidamani@gmail.com,17.660077,75.906391
Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,Maharashtra,SOLAPUR,Solapur,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur",413304,"02186 223650, 02186 222219",bajajbloodbank@gmail.com,17.562936,75.265589
SIDDHESHWAR BLOOD BANK,Maharashtra,SOLAPUR,Solapur,"Kalyani Towers, 126 Siddheshwar Peth, Near Yashwantrao Hospital Behind civil court, Solapur ",413003,0217 2323222,siddheswarbloodbank@gmail.com,17.672075,75.904841
M/s Shrikamal Shikshan Prasarak Krida - Kala & Krushivikas Bahu Uddeshiya Samajsevi Mandals Sanjeevani Blood Bank,Maharashtra,SOLAPUR,Solapur,Solapur,,,,,
Gor Banjara RSS Jankalyan Samiti - Seva Blood Bank,Maharashtra,THANE,,"Basement Puspadev Appartment, Near Sarvesh Hall Opposite to Manav Kalyan Kendra Dombivli ",,0251 2442283,,,
"Dr. D.Y. Patil Hospital & Research Centre, Blood Bank",Maharashtra,THANE,Nerul,"Nerul, Thane",,,,,
Tarapur Atomic Power Station Hospital Blood Bank,Maharashtra,THANE,Palghar,"TAPS Hospital Blood Bank, TAPS 1&2 (Anushri) Township Near Boisar, Palghar ",401504,02525 264001,rmwankhede@npcil.co.in,19.813093,72.743519
Vitthal Sayanna General Hospital (Civil Hospital) Blood Bank,Maharashtra,THANE,Thane,"Civil Hospital, 1st Floor, Tembhi Naka, Thane (W)-400601
",400601,"022 25472582, 022 25471409, 022 25471409",,19.199056,72.978096
Central Hospital Blood Bank,Maharashtra,THANE,Thane,"Ulhasnagar, Central Hospital, Nehru Chowk Road, Ulhasnagar",421003,"0251 2709432, 0251 2708730",,19.229578,73.165135
JVP Blood Bank and Transfusion Centre Blood Bank,Maharashtra,THANE,Thane,"201, 213 Arenja Arcade Plot No. 4 Sec-17, Next to Apana Bazar, Vashi, Navi Mumbai",400705,"022 27894490, 022 67912094",,19.072305,73.000676
Sankalp Blood Bank,Maharashtra,THANE,Thane,"Riddhi Siddhi, Opposite to ICICI Bank, Near Ramchandra Hall, Murbad Road Kalyan (W)",421301,"0251 2300096, 0251 2203974",,19.241131,73.146766
Jupiter Hospital Blood Bank,Maharashtra,THANE,Thane,"Jupiter Hospital, Eastern Express Highway, Service Road, Near Voltas,  Naupada, Thane (W)  ",400601,"022 21725521, 022 21725555, 022 25853320",,19.209617,72.972405
Plasma Diagnostic Lab and Blood Bank,Maharashtra,THANE,Thane,"Meghdoot, Building, Gopal Nagar, Hotel Janaki, Opposite to Manjunath School, Dombivali( E)",421201,"0251 2802491, 0251 2453568, 0251 2438078",,19.215794,73.096159
Vaidhya Blood Bank,Maharashtra,THANE,Thane,"1st Floor. Satyam Apartment, M.G. Road, Jeevan Jyot Hospital, Near Naupada Police Station, Thane (W)",400602,"022 25380787, 022 25411773",,19.187896,72.96724
Mahatma Gandhi Mission Medical College and Hospital Blood Bank,Maharashtra,THANE,Thane,"Plot No. 1 and 2, Sector-18, Kamothe, Navi Mumbai",410209,"022 27863483, 022 27427905, 022 27420320",,19.003199,73.118362
Navjeevan Blood Bank,Maharashtra,THANE,Thane,"Gokhale Road, Naupada, Near Dr.Mhaskar&#39;s Hospital, Thane (W)",400602,"022 25400425, 022 25339495                ",,19.187729,72.967926
Sarla Blood Bank,Maharashtra,THANE,Thane,"Ravi Hospital, 1st Floor, 50 Anand Nagar, Navghar Vasai (W)",401202,"0250 2332684, 0250 2349950, 0250 3256565, 0250 2332425",,19.255677,72.865577
Tssia Blood Bank,Maharashtra,THANE,Thane,"Tssia House, Road No.P 26/T,Rd-16, Wagle Estate, Thane (W) ",400604,"022 25803263, 022 39410060, 022 25362283                       ",,19.194769,72.952884
Katiya Charitable Trusts Bhiwandi Blood Bank,Maharashtra,THANE,Thane,"271, Second Floor, Al-Hera Complex, Teen Batti Bhiwandi, Thane",421302,"02522 258065, 02522 221858, 02522 251614 ",,19.290856,
Kai Wamanrao Oak Blood Bank,Maharashtra,THANE,Thane,"Ghantali Mandir Road, Vishnu Nagar, Naupada, Thane",400602,"022 25385248, 022 25392440",,19.186459,72.975467
Blood Line Blood Bank,Maharashtra,THANE,Thane,"Swargiya Dharmvir Anand Dighe Sankool, Tika No-10, Near Vikas Palm, Dr. Ambedkar Road, Thane (W) ",421302,"022 25374000, 022 25375000, 022 25376000",,19.200762,72.97498
